&	ಮತ್ತು
#	ಹ್ಯಾಶ್
@	ಎಟ್
§	ವಿಭಾಗ
™	ಟ್ರೇಡ್‌ಮಾರ್ಕ್
®	ನೊಂದಾಯಿತ ಟ್ರೇಡ್‌ಮಾರ್ಕ್
©	ಹಕ್ಕುಸ್ವಾಮ್ಯ
_	ಅಂಡರ್‌ಸ್ಕೋರ್
%	ಪ್ರತಿಶತ
*	ನಕ್ಷತ್ರ
+	ಪ್ಲಸ್
-	ಮೈನಸ್
/	ಸ್ಲ್ಯಾಶ್
=	ಸಮಾನ
^	ಕ್ಯಾರೆಟ್
|	ಲಂಬ ಬಾರ್
~	ಟಿಲ್ಡೆ
$	ಡಾಲರ್
£	ಪೌಂಡ್
€	ಯೂರೋ
₹	ರುಪಿ
₩	ವೋನ್
¥	ಯೆನ್
°	ಡಿಗ್ರೀ
º	ಡಿಗ್ರೀ
κ	ಕಪ್ಪಾ
ω	ಓಮೇಗಾ
α	ಆಲ್ಫಾ
ν	ನ್ಯೂ
δ	ಡೆಲ್ಟಾ
Δ	ಡೆಲ್ಟಾ
Α	ಆಲ್ಫಾ
β	ಬೀಟಾ
Β	ಬೀಟಾ
χ	ಖಿ
Χ	ಖಿ
ε	ಎಪ್ಸಿಲಾನ್
Ε	ಎಪ್ಸಿಲಾನ್
φ	ಫಾಇ
Φ	ಫಾಇ
γ	ಗಾಮಾ
Γ	ಗಾಮಾ
η	ಎಟಾ
Η	ಎಟಾ
ι	ಅಯೋಟಾ
Ι	ಅಯೋಟಾ
κ	ಕಪ್ಪಾ
Κ	ಕಪ್ಪಾ
λ	ಲ್ಯಾಂಬ್ಡಾ
Λ	ಲ್ಯಾಂಬ್ಡಾ
μ	ಮ್ಯೂ
Μ	ಮ್ಯೂ
ν	ನ್ಯೂ
Ν	ನ್ಯೂ
ο	ಓಮಿಕ್ರಾನ್
Ο	ಓಮಿಕ್ರಾನ್
π	ಪಾಇ
Π	ಪಾಇ
θ	ಥೀಟಾ
Θ	ಥೀಟಾ
ρ	ರೋ
Ρ	ರೋ
σ	ಸಿಗ್ಮಾ
Σ	ಸಿಗ್ಮಾ
τ	ಟಾವ್
Τ	ಟಾವ್
υ	ಅಪ್ಸಿಲಾನ್
Υ	ಅಪ್ಸಿಲಾನ್
ω	ಓಮೇಗಾ
Ω	ಓಮೇಗಾ
ξ	ಗ್ಜಾಇ
Ξ	ಗ್ಜಾಇ
ψ	ಸಾಇ
Ψ	ಸಾಇ
ζ	ಜೇಟಾ
ζ	ಜೇಟಾ
Ζ	ಜೇಟಾ
±	ಪ್ಲಸ್ ಮೈನಸ್
∓	ಮೈನಸ್ ಪ್ಲಸ್
√	ವರ್ಗಮೂಲ
∛	ಘನಮೂಲ
∜	ನಾಲ್ಕನೇ ಮೂಲ
∞	ಅನಂತ
≠	ಅಸಮಾನ
≈	ಸುಮಾರು ಸಮಾನ
≤	ಕಡಿಮೆ ಅಥವಾ ಸಮಾನ
≥	ಹೆಚ್ಚು ಅಥವಾ ಸಮಾನ
<	ಗಿಂತ ಕಡಿಮೆ
>	ಗಿಂತ ಹೆಚ್ಚು
≡	ಸರ್ವಸಮ
≢	ಸರ್ವಸಮವಲ್ಲ
≅	ಸುಮಾರು ಸಮಾನ
∼	ಸಮಾನ
≃	ಸುಮಾರು ಸಮಾನ
≪	ಬಹಳ ಕಡಿಮೆ
≫	ಬಹಳ ಹೆಚ್ಚು
∑	ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
∏	ಗುಣಲಬ್ಧ
∫	ಸಮಾಕಲನ
∬	ದ್ವಿಗುಣಿತ ಸಮಾಕಲನ
∭	ತ್ರಿಗುಣಿತ ಸಮಾಕಲನ
∮	ರೇಖಾ ಸಮಾಕಲನ
∈	ಸದಸ್ಯ
∉	ಸದಸ್ಯ ಅಲ್ಲ
∋	ಒಳಗೊಂಡಿದೆ
∌	ಒಳಗೊಂಡಿಲ್ಲ
∪	ಒಕ್ಕೂಟ
∩	ಛೇದನ
∖	ಗಣ ವ್ಯತ್ಯಾಸ
⊆	ಉಪಗಣ
⊂	ಶುದ್ಧ ಉಪಗಣ
⊇	ಸೂಪರ್‌ಸೆಟ್
⊃	ಶುದ್ಧ ಸೂಪರ್‌ಸೆಟ್
⊈	ಉಪಗಣ ಅಲ್ಲ
⊉	ಸೂಪರ್‌ಸೆಟ್ ಅಲ್ಲ
∅	ಖಾಲಿ ಗಣ
∀	ಎಲ್ಲದಕ್ಕೂ
∃	ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ
∄	ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ
¬	ಅಲ್ಲ
∧	ಮತ್ತು
∨	ಅಥವಾ
⊕	ನೇರ ಮೊತ್ತ
⊗	ನೇರ ಗುಣಲಬ್ಧ
⊥	ಲಂಬ
∥	ಸಮಾನಾಂತರ
∠	ಕೋನ
∟	ಲಂಬ ಕೋನ
∂	ಭಾಗಶಃ ಅವಕಲನ
∇	ನಾಬ್ಲಾ
∝	ಅನುಪಾತದಲ್ಲಿ
∴	ಆದ್ದರಿಂದ
∵	ಏಕೆಂದರೆ
∶	ಅನುಪಾತ
ℝ	ವಾಸ್ತವ ಸಂಖ್ಯೆಗಳು
ℂ	ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳು
ℕ	ನೈಸರ್ಗಿಕ ಸಂಖ್ಯೆಗಳು
ℤ	ಪೂರ್ಣಾಂಕಗಳು
ℚ	ಭಾಗಲಬ್ಧ ಸಂಖ್ಯೆಗಳು
⟹	ಸೂಚಿಸುತ್ತದೆ
⟸	ಹಿಂದೆ ಸೂಚಿಸುತ್ತದೆ
⟺	ಎರಡು ಕಡೆ ಸೂಚಿಸುತ್ತದೆ
⟷	ಸಮಾನ
→	ಬಲ ಬಾಣ
←	ಎಡ ಬಾಣ
↔	ಎರಡು ಕಡೆ ಬಾಣ
↑	ಮೇಲಿನ ಬಾಣ
↓	ಕೆಳಗಿನ ಬಾಣ
×	ಗುಣಿಸಿ
÷	ಭಾಗಿಸಿ
